[train_v2] Device: cuda
[train_v2] transition=lstm hidden=512 layers=3 | epochs=1500 seq_len=40 lr=0.0005 batch=8
[train_v2] loss weights: recon=0.3 kl_dyn=1.0 kl_reg=0.005 free_bits=0.0 trans_mse=1.0
[train_v2] Loaded 9 cached feature sequences from data/features_cache_v2.pkl
[train_v2] feature stats set on 2435 frames (mean|14.114| std~74.016)
/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[metrics] run 'world_model_v2_20260621_052133' → logs/world_model_v2_20260621_052133/

==================================================
WORLD MODEL v2 TRAINING (proper VAE)
==================================================
  Epoch  500/1500 | Loss 1.23005 | Best 1.13210 | recon 0.7727 | kl_dyn 0.0000 | kl_reg 0.0064
  Epoch  505/1500 | Loss 1.29975 | Best 1.13210 | recon 1.0062 | kl_dyn 0.0001 | kl_reg 0.0068
  Epoch  510/1500 | Loss 1.35776 | Best 1.13210 | recon 1.1912 | kl_dyn 0.0001 | kl_reg 0.0071
  Epoch  515/1500 | Loss 1.44582 | Best 1.13210 | recon 1.4782 | kl_dyn 0.0000 | kl_reg 0.0069
  Epoch  520/1500 | Loss 1.31177 | Best 1.13210 | recon 1.0502 | kl_dyn 0.0000 | kl_reg 0.0061
  Epoch  525/1500 | Loss 1.21327 | Best 1.13210 | recon 0.6853 | kl_dyn 0.0001 | kl_reg 0.0054
  Epoch  530/1500 | Loss 1.23736 | Best 1.13210 | recon 0.8156 | kl_dyn 0.0001 | kl_reg 0.0051
  Epoch  535/1500 | Loss 1.30671 | Best 1.13210 | recon 1.0332 | kl_dyn 0.0001 | kl_reg 0.0060
  Epoch  540/1500 | Loss 1.33173 | Best 1.13210 | recon 1.1010 | kl_dyn 0.0001 | kl_reg 0.0061
  Epoch  545/1500 | Loss 1.31637 | Best 1.13210 | recon 1.0242 | kl_dyn 0.0001 | kl_reg 0.0060
  Epoch  550/1500 | Loss 1.26386 | Best 1.13210 | recon 0.8802 | kl_dyn 0.0000 | kl_reg 0.0067
  Epoch  555/1500 | Loss 1.28196 | Best 1.13210 | recon 0.9397 | kl_dyn 0.0000 | kl_reg 0.0097
  Epoch  560/1500 | Loss 1.28715 | Best 1.13210 | recon 1.0033 | kl_dyn 0.0000 | kl_reg 0.0079
  Epoch  565/1500 | Loss 1.27839 | Best 1.13210 | recon 0.9406 | kl_dyn 0.0000 | kl_reg 0.0084
